name,lat,lng,hour,day,available_spots,total_capacity
Guwahati Railway Station,26.181,91.75,15,4,165,300
Connaught Place,28.631,77.219,8,3,116,200
Connaught Place,28.631,77.219,22,4,93,200
Chhatrapati Shivaji Terminus,18.94,72.835,17,3,62,150
Select CITYWALK,28.528,77.218,5,3,180,350
M Chinnaswamy Stadium,12.978,77.599,18,1,452,600
Connaught Place,28.631,77.219,16,3,85,200
Connaught Place,28.631,77.219,0,6,112,200
M Chinnaswamy Stadium,12.978,77.599,16,1,352,600
UB City Mall,12.971,77.595,1,1,99,200
M Chinnaswamy Stadium,12.978,77.599,19,3,333,600
Guwahati Railway Station,26.181,91.75,21,0,185,300
Connaught Place,28.631,77.219,8,2,153,200
UB City Mall,12.971,77.595,6,1,133,200
Indira Gandhi Athletic Stadium,26.111,91.761,11,5,207,500
UB City Mall,12.971,77.595,15,6,23,200
Indira Gandhi Athletic Stadium,26.111,91.761,8,1,348,500
Select CITYWALK,28.528,77.218,3,0,248,350
India Gate Parking,28.612,77.229,8,4,63,100
Guwahati Railway Station,26.181,91.75,7,4,148,300
Select CITYWALK,28.528,77.218,22,4,227,350
Guwahati Railway Station,26.181,91.75,17,1,207,300
India Gate Parking,28.612,77.229,14,1,43,100
City Centre Mall,26.152,91.776,19,0,60,120
UB City Mall,12.971,77.595,11,1,149,200
Gateway of India Parking,18.922,72.834,12,6,59,80
Indira Gandhi Athletic Stadium,26.111,91.761,7,5,286,500
UB City Mall,12.971,77.595,13,5,12,200
Guwahati Railway Station,26.181,91.75,15,5,214,300
M Chinnaswamy Stadium,12.978,77.599,19,4,431,600
M Chinnaswamy Stadium,12.978,77.599,3,1,437,600
Phoenix Marketcity,19.088,72.882,17,1,222,400
Select CITYWALK,28.528,77.218,23,0,266,350
India Gate Parking,28.612,77.229,3,4,65,100
Phoenix Marketcity,19.088,72.882,16,6,160,400
M Chinnaswamy Stadium,12.978,77.599,11,2,420,600
Chhatrapati Shivaji Terminus,18.94,72.835,4,5,90,150
Gateway of India Parking,18.922,72.834,18,3,38,80
Guwahati Railway Station,26.181,91.75,0,5,183,300
M Chinnaswamy Stadium,12.978,77.599,19,5,447,600
Gateway of India Parking,18.922,72.834,23,1,57,80
UB City Mall,12.971,77.595,6,2,117,200
City Centre Mall,26.152,91.776,22,5,21,120
Chhatrapati Shivaji Terminus,18.94,72.835,16,3,72,150
Indira Gandhi Athletic Stadium,26.111,91.761,7,0,356,500
Connaught Place,28.631,77.219,9,4,96,200
Chhatrapati Shivaji Terminus,18.94,72.835,20,4,119,150
Guwahati Railway Station,26.181,91.75,20,3,191,300
Select CITYWALK,28.528,77.218,22,4,232,350
Phoenix Marketcity,19.088,72.882,8,5,182,400
Indira Gandhi Athletic Stadium,26.111,91.761,21,3,226,500
M Chinnaswamy Stadium,12.978,77.599,23,2,474,600
UB City Mall,12.971,77.595,7,5,11,200
Gateway of India Parking,18.922,72.834,4,4,48,80
Indira Gandhi Athletic Stadium,26.111,91.761,19,3,247,500
Guwahati Railway Station,26.181,91.75,13,6,150,300
Gateway of India Parking,18.922,72.834,23,6,33,80
M Chinnaswamy Stadium,12.978,77.599,21,5,243,600
Gateway of India Parking,18.922,72.834,14,1,41,80
City Centre Mall,26.152,91.776,13,2,79,120
City Centre Mall,26.152,91.776,10,2,71,120
Phoenix Marketcity,19.088,72.882,21,1,302,400
Guwahati Railway Station,26.181,91.75,5,4,193,300
Guwahati Railway Station,26.181,91.75,21,3,156,300
Indira Gandhi Athletic Stadium,26.111,91.761,5,0,313,500
City Centre Mall,26.152,91.776,5,3,58,120
Connaught Place,28.631,77.219,0,2,83,200
India Gate Parking,28.612,77.229,3,5,57,100
Phoenix Marketcity,19.088,72.882,6,1,217,400
City Centre Mall,26.152,91.776,0,1,65,120
Select CITYWALK,28.528,77.218,14,4,231,350
Chhatrapati Shivaji Terminus,18.94,72.835,14,0,98,150
Gateway of India Parking,18.922,72.834,7,6,50,80
Chhatrapati Shivaji Terminus,18.94,72.835,15,3,105,150
Connaught Place,28.631,77.219,5,6,123,200
India Gate Parking,28.612,77.229,8,2,61,100
UB City Mall,12.971,77.595,10,4,81,200
M Chinnaswamy Stadium,12.978,77.599,14,3,433,600
Guwahati Railway Station,26.181,91.75,6,2,186,300
Chhatrapati Shivaji Terminus,18.94,72.835,12,2,70,150
Gateway of India Parking,18.922,72.834,18,5,59,80
City Centre Mall,26.152,91.776,11,2,77,120
Select CITYWALK,28.528,77.218,8,4,243,350
Indira Gandhi Athletic Stadium,26.111,91.761,4,6,360,500
Phoenix Marketcity,19.088,72.882,0,5,198,400
Select CITYWALK,28.528,77.218,10,6,183,350
Gateway of India Parking,18.922,72.834,22,0,35,80
India Gate Parking,28.612,77.229,12,2,56,100
City Centre Mall,26.152,91.776,17,2,63,120
M Chinnaswamy Stadium,12.978,77.599,1,3,411,600
M Chinnaswamy Stadium,12.978,77.599,22,4,420,600
Phoenix Marketcity,19.088,72.882,13,2,199,400
City Centre Mall,26.152,91.776,17,2,73,120
City Centre Mall,26.152,91.776,22,2,80,120
Phoenix Marketcity,19.088,72.882,17,6,176,400
City Centre Mall,26.152,91.776,12,5,7,120
India Gate Parking,28.612,77.229,21,6,41,100
UB City Mall,12.971,77.595,23,2,97,200
Guwahati Railway Station,26.181,91.75,18,1,231,300
City Centre Mall,26.152,91.776,22,0,53,120
M Chinnaswamy Stadium,12.978,77.599,14,1,244,600
Connaught Place,28.631,77.219,22,2,145,200
M Chinnaswamy Stadium,12.978,77.599,19,2,318,600
Connaught Place,28.631,77.219,12,0,122,200
Phoenix Marketcity,19.088,72.882,6,0,206,400
UB City Mall,12.971,77.595,19,6,33,200
India Gate Parking,28.612,77.229,19,4,44,100
Indira Gandhi Athletic Stadium,26.111,91.761,1,0,313,500
City Centre Mall,26.152,91.776,3,6,12,120
M Chinnaswamy Stadium,12.978,77.599,18,4,348,600
India Gate Parking,28.612,77.229,7,5,56,100
Guwahati Railway Station,26.181,91.75,8,2,219,300
M Chinnaswamy Stadium,12.978,77.599,12,5,279,600
M Chinnaswamy Stadium,12.978,77.599,5,2,338,600
Indira Gandhi Athletic Stadium,26.111,91.761,15,0,261,500
M Chinnaswamy Stadium,12.978,77.599,15,3,265,600
M Chinnaswamy Stadium,12.978,77.599,21,5,430,600
Select CITYWALK,28.528,77.218,16,5,167,350
Indira Gandhi Athletic Stadium,26.111,91.761,5,4,257,500
Indira Gandhi Athletic Stadium,26.111,91.761,3,5,216,500
Select CITYWALK,28.528,77.218,12,1,276,350
Indira Gandhi Athletic Stadium,26.111,91.761,3,5,341,500
City Centre Mall,26.152,91.776,8,5,14,120
M Chinnaswamy Stadium,12.978,77.599,22,5,340,600
M Chinnaswamy Stadium,12.978,77.599,7,0,293,600
M Chinnaswamy Stadium,12.978,77.599,0,0,448,600
Indira Gandhi Athletic Stadium,26.111,91.761,13,2,222,500
India Gate Parking,28.612,77.229,7,2,45,100
Indira Gandhi Athletic Stadium,26.111,91.761,15,0,304,500
UB City Mall,12.971,77.595,0,0,134,200
City Centre Mall,26.152,91.776,4,0,72,120
M Chinnaswamy Stadium,12.978,77.599,23,5,296,600
India Gate Parking,28.612,77.229,14,2,55,100
UB City Mall,12.971,77.595,0,0,127,200
UB City Mall,12.971,77.595,8,6,11,200
Indira Gandhi Athletic Stadium,26.111,91.761,14,0,305,500
Gateway of India Parking,18.922,72.834,3,4,47,80
Chhatrapati Shivaji Terminus,18.94,72.835,23,5,96,150
India Gate Parking,28.612,77.229,23,2,58,100
Connaught Place,28.631,77.219,20,1,107,200
Gateway of India Parking,18.922,72.834,12,4,51,80
UB City Mall,12.971,77.595,8,2,114,200
UB City Mall,12.971,77.595,19,1,109,200
Connaught Place,28.631,77.219,23,1,91,200
City Centre Mall,26.152,91.776,2,2,78,120
Gateway of India Parking,18.922,72.834,13,0,42,80
Phoenix Marketcity,19.088,72.882,3,3,246,400
Phoenix Marketcity,19.088,72.882,21,4,248,400
India Gate Parking,28.612,77.229,13,2,67,100
City Centre Mall,26.152,91.776,6,1,87,120
Gateway of India Parking,18.922,72.834,14,2,36,80
Select CITYWALK,28.528,77.218,17,2,196,350
Chhatrapati Shivaji Terminus,18.94,72.835,4,2,97,150
Connaught Place,28.631,77.219,3,5,90,200
M Chinnaswamy Stadium,12.978,77.599,23,5,427,600
India Gate Parking,28.612,77.229,4,5,45,100
Select CITYWALK,28.528,77.218,10,0,186,350
India Gate Parking,28.612,77.229,2,5,66,100
Indira Gandhi Athletic Stadium,26.111,91.761,7,5,224,500
UB City Mall,12.971,77.595,21,1,139,200
M Chinnaswamy Stadium,12.978,77.599,21,3,433,600
Select CITYWALK,28.528,77.218,6,0,187,350
Gateway of India Parking,18.922,72.834,19,2,37,80
Chhatrapati Shivaji Terminus,18.94,72.835,6,3,77,150
Indira Gandhi Athletic Stadium,26.111,91.761,12,2,259,500
City Centre Mall,26.152,91.776,8,6,8,120
Connaught Place,28.631,77.219,11,5,118,200
M Chinnaswamy Stadium,12.978,77.599,21,6,244,600
Connaught Place,28.631,77.219,18,6,91,200
City Centre Mall,26.152,91.776,23,6,19,120
Connaught Place,28.631,77.219,23,1,84,200
Indira Gandhi Athletic Stadium,26.111,91.761,3,3,303,500
Phoenix Marketcity,19.088,72.882,20,4,208,400
M Chinnaswamy Stadium,12.978,77.599,4,3,371,600
M Chinnaswamy Stadium,12.978,77.599,4,5,271,600
Connaught Place,28.631,77.219,4,5,84,200
UB City Mall,12.971,77.595,11,6,35,200
Chhatrapati Shivaji Terminus,18.94,72.835,11,5,74,150
India Gate Parking,28.612,77.229,10,5,41,100
Indira Gandhi Athletic Stadium,26.111,91.761,6,3,228,500
Select CITYWALK,28.528,77.218,16,5,213,350
Phoenix Marketcity,19.088,72.882,12,2,316,400
Connaught Place,28.631,77.219,8,5,95,200
M Chinnaswamy Stadium,12.978,77.599,19,0,425,600
Chhatrapati Shivaji Terminus,18.94,72.835,22,0,76,150
India Gate Parking,28.612,77.229,21,1,47,100
Indira Gandhi Athletic Stadium,26.111,91.761,5,6,225,500
Connaught Place,28.631,77.219,2,3,123,200
City Centre Mall,26.152,91.776,0,3,58,120
Chhatrapati Shivaji Terminus,18.94,72.835,8,1,105,150
Guwahati Railway Station,26.181,91.75,5,6,188,300
City Centre Mall,26.152,91.776,4,2,52,120
Chhatrapati Shivaji Terminus,18.94,72.835,15,5,80,150
UB City Mall,12.971,77.595,13,3,130,200
Connaught Place,28.631,77.219,4,5,128,200
India Gate Parking,28.612,77.229,8,2,60,100
Indira Gandhi Athletic Stadium,26.111,91.761,17,1,360,500
M Chinnaswamy Stadium,12.978,77.599,4,1,423,600
UB City Mall,12.971,77.595,10,4,82,200
Gateway of India Parking,18.922,72.834,23,5,49,80
M Chinnaswamy Stadium,12.978,77.599,17,3,339,600
City Centre Mall,26.152,91.776,17,3,95,120
Gateway of India Parking,18.922,72.834,11,6,48,80
Connaught Place,28.631,77.219,9,3,98,200
Indira Gandhi Athletic Stadium,26.111,91.761,8,6,306,500
UB City Mall,12.971,77.595,23,0,94,200
UB City Mall,12.971,77.595,0,6,32,200
Chhatrapati Shivaji Terminus,18.94,72.835,14,3,95,150
UB City Mall,12.971,77.595,22,5,24,200
UB City Mall,12.971,77.595,9,4,83,200
M Chinnaswamy Stadium,12.978,77.599,0,1,393,600
Gateway of India Parking,18.922,72.834,2,6,49,80
Phoenix Marketcity,19.088,72.882,1,0,248,400
Chhatrapati Shivaji Terminus,18.94,72.835,20,0,111,150
India Gate Parking,28.612,77.229,10,5,50,100
Indira Gandhi Athletic Stadium,26.111,91.761,11,0,365,500
Indira Gandhi Athletic Stadium,26.111,91.761,8,2,351,500
Indira Gandhi Athletic Stadium,26.111,91.761,11,1,213,500
Connaught Place,28.631,77.219,2,1,115,200
Guwahati Railway Station,26.181,91.75,2,1,169,300
UB City Mall,12.971,77.595,6,2,148,200
Chhatrapati Shivaji Terminus,18.94,72.835,19,6,103,150
Connaught Place,28.631,77.219,19,4,92,200
Indira Gandhi Athletic Stadium,26.111,91.761,7,4,234,500
India Gate Parking,28.612,77.229,20,2,61,100
Guwahati Railway Station,26.181,91.75,14,6,120,300
India Gate Parking,28.612,77.229,15,2,52,100
Indira Gandhi Athletic Stadium,26.111,91.761,6,5,395,500
UB City Mall,12.971,77.595,22,2,144,200
Select CITYWALK,28.528,77.218,13,2,238,350
M Chinnaswamy Stadium,12.978,77.599,9,6,349,600
Guwahati Railway Station,26.181,91.75,20,0,225,300
Chhatrapati Shivaji Terminus,18.94,72.835,10,5,103,150
M Chinnaswamy Stadium,12.978,77.599,22,3,399,600
UB City Mall,12.971,77.595,2,1,144,200
Indira Gandhi Athletic Stadium,26.111,91.761,15,0,234,500
Phoenix Marketcity,19.088,72.882,11,6,300,400
India Gate Parking,28.612,77.229,19,0,59,100
Select CITYWALK,28.528,77.218,23,0,192,350
Guwahati Railway Station,26.181,91.75,17,6,157,300
Phoenix Marketcity,19.088,72.882,16,6,169,400
Phoenix Marketcity,19.088,72.882,13,4,304,400
Connaught Place,28.631,77.219,22,3,147,200
Indira Gandhi Athletic Stadium,26.111,91.761,12,4,327,500
M Chinnaswamy Stadium,12.978,77.599,1,6,386,600
Gateway of India Parking,18.922,72.834,6,0,56,80
Chhatrapati Shivaji Terminus,18.94,72.835,3,1,94,150
Phoenix Marketcity,19.088,72.882,22,5,300,400
UB City Mall,12.971,77.595,1,3,116,200
City Centre Mall,26.152,91.776,13,1,52,120
UB City Mall,12.971,77.595,14,2,82,200
UB City Mall,12.971,77.595,23,0,92,200
City Centre Mall,26.152,91.776,6,0,85,120
UB City Mall,12.971,77.595,18,1,90,200
Phoenix Marketcity,19.088,72.882,9,1,189,400
Indira Gandhi Athletic Stadium,26.111,91.761,7,6,271,500
Chhatrapati Shivaji Terminus,18.94,72.835,4,2,78,150
M Chinnaswamy Stadium,12.978,77.599,17,1,416,600
Select CITYWALK,28.528,77.218,10,2,251,350
UB City Mall,12.971,77.595,11,5,35,200
Chhatrapati Shivaji Terminus,18.94,72.835,14,4,72,150
Gateway of India Parking,18.922,72.834,5,1,32,80
Select CITYWALK,28.528,77.218,0,6,218,350
M Chinnaswamy Stadium,12.978,77.599,4,4,372,600
India Gate Parking,28.612,77.229,7,3,67,100
India Gate Parking,28.612,77.229,6,0,72,100
Indira Gandhi Athletic Stadium,26.111,91.761,15,0,322,500
M Chinnaswamy Stadium,12.978,77.599,17,0,453,600
M Chinnaswamy Stadium,12.978,77.599,1,1,363,600
Connaught Place,28.631,77.219,7,0,112,200
M Chinnaswamy Stadium,12.978,77.599,13,6,249,600
Indira Gandhi Athletic Stadium,26.111,91.761,16,1,228,500
India Gate Parking,28.612,77.229,9,2,56,100
UB City Mall,12.971,77.595,6,3,96,200
UB City Mall,12.971,77.595,4,4,92,200
M Chinnaswamy Stadium,12.978,77.599,19,0,445,600
Connaught Place,28.631,77.219,17,5,103,200
UB City Mall,12.971,77.595,0,6,26,200
Indira Gandhi Athletic Stadium,26.111,91.761,2,0,396,500
Indira Gandhi Athletic Stadium,26.111,91.761,2,5,273,500
India Gate Parking,28.612,77.229,3,2,76,100
M Chinnaswamy Stadium,12.978,77.599,11,1,364,600
Indira Gandhi Athletic Stadium,26.111,91.761,20,0,325,500
Gateway of India Parking,18.922,72.834,6,1,61,80
Chhatrapati Shivaji Terminus,18.94,72.835,23,2,108,150
City Centre Mall,26.152,91.776,16,2,83,120
Indira Gandhi Athletic Stadium,26.111,91.761,15,2,258,500
Select CITYWALK,28.528,77.218,14,5,172,350
Gateway of India Parking,18.922,72.834,5,6,54,80
Select CITYWALK,28.528,77.218,13,5,152,350
Connaught Place,28.631,77.219,12,0,114,200
Gateway of India Parking,18.922,72.834,2,5,62,80
UB City Mall,12.971,77.595,2,3,87,200
Gateway of India Parking,18.922,72.834,18,6,48,80
India Gate Parking,28.612,77.229,7,1,49,100
Connaught Place,28.631,77.219,0,0,117,200
City Centre Mall,26.152,91.776,15,3,75,120
UB City Mall,12.971,77.595,19,4,84,200
India Gate Parking,28.612,77.229,12,5,46,100
Guwahati Railway Station,26.181,91.75,9,3,144,300
Gateway of India Parking,18.922,72.834,21,1,34,80
Select CITYWALK,28.528,77.218,18,4,230,350
M Chinnaswamy Stadium,12.978,77.599,15,2,416,600
Gateway of India Parking,18.922,72.834,23,4,59,80
India Gate Parking,28.612,77.229,7,0,56,100
Connaught Place,28.631,77.219,21,1,97,200
Phoenix Marketcity,19.088,72.882,5,5,290,400
India Gate Parking,28.612,77.229,12,3,51,100
Phoenix Marketcity,19.088,72.882,6,5,258,400
Chhatrapati Shivaji Terminus,18.94,72.835,21,3,87,150
Select CITYWALK,28.528,77.218,14,0,151,350
Indira Gandhi Athletic Stadium,26.111,91.761,7,2,232,500
City Centre Mall,26.152,91.776,8,2,71,120
India Gate Parking,28.612,77.229,5,3,76,100
Indira Gandhi Athletic Stadium,26.111,91.761,8,6,282,500
Chhatrapati Shivaji Terminus,18.94,72.835,22,2,97,150
Select CITYWALK,28.528,77.218,20,0,143,350
M Chinnaswamy Stadium,12.978,77.599,11,5,449,600
Guwahati Railway Station,26.181,91.75,4,3,136,300
Phoenix Marketcity,19.088,72.882,19,1,218,400
Connaught Place,28.631,77.219,0,6,98,200
Chhatrapati Shivaji Terminus,18.94,72.835,17,0,72,150
Guwahati Railway Station,26.181,91.75,1,5,196,300
India Gate Parking,28.612,77.229,18,0,69,100
Gateway of India Parking,18.922,72.834,5,4,46,80
M Chinnaswamy Stadium,12.978,77.599,21,1,450,600
Chhatrapati Shivaji Terminus,18.94,72.835,10,0,80,150
Chhatrapati Shivaji Terminus,18.94,72.835,6,0,77,150
Chhatrapati Shivaji Terminus,18.94,72.835,0,0,117,150
M Chinnaswamy Stadium,12.978,77.599,19,2,270,600
Connaught Place,28.631,77.219,16,2,115,200
Select CITYWALK,28.528,77.218,16,6,260,350
UB City Mall,12.971,77.595,10,1,96,200
Gateway of India Parking,18.922,72.834,17,0,42,80
Indira Gandhi Athletic Stadium,26.111,91.761,0,3,264,500
India Gate Parking,28.612,77.229,10,2,61,100
M Chinnaswamy Stadium,12.978,77.599,23,6,442,600
Chhatrapati Shivaji Terminus,18.94,72.835,20,2,117,150
Select CITYWALK,28.528,77.218,11,3,229,350
Chhatrapati Shivaji Terminus,18.94,72.835,7,6,68,150
M Chinnaswamy Stadium,12.978,77.599,5,2,363,600
Phoenix Marketcity,19.088,72.882,2,1,243,400
Chhatrapati Shivaji Terminus,18.94,72.835,16,0,113,150
UB City Mall,12.971,77.595,23,2,104,200
UB City Mall,12.971,77.595,8,5,22,200
Select CITYWALK,28.528,77.218,16,1,182,350
Connaught Place,28.631,77.219,1,1,105,200
Chhatrapati Shivaji Terminus,18.94,72.835,2,4,75,150
Connaught Place,28.631,77.219,10,3,95,200
Phoenix Marketcity,19.088,72.882,8,4,310,400
UB City Mall,12.971,77.595,16,3,142,200
